id,wine,winery,rating_average,rating_reviews,location_nation,location_region,image,category
83,"Cobos Chañares Vineyard Malbec 2015","Viña Cobos",4.8,328 ratings,"Argentina","Tunuyán",https://images.vivino.com/thumbs/IQSL2hitTXi4fypdhZzi4g_pb_x300.png,reds
84,"Pêra-Manca Tinto 1997","Cartuxa",4.8,321 ratings,"Portugal","Alentejo",https://images.vivino.com/thumbs/L33jsYUuTMWTMy3KoqQyXg_pb_x300.png,reds
85,"La Tâche Grand Cru 2000","Domaine de La Romanée-Conti",4.8,308 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
86,"La Tâche Grand Cru 2006","Domaine de La Romanée-Conti",4.8,298 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
87,"Cabernet Sauvignon Old Sparky Beckstoffer To Kalon N.V.","Schrader",4.8,299 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/nPPvCaprSvqHtXOGVakjVQ_pb_x300.png,reds
88,"Grange 1991","Penfolds",4.8,283 ratings,"Australia","South Australia",https://images.vivino.com/thumbs/hRl7EuOORIuIM6JxYyxgBA_pb_x300.png,reds
89,"Unico Reserva Especial Edición 2014","Vega Sicilia",4.8,276 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/k_UetHZ3Q2SMqUsliefGYQ_pb_x300.png,reds
90,"Harlan Estate Red 2005","Harlan Estate",4.8,274 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/dk-tNdajRPqx2M7XtuE3dg_pb_x300.png,reds
91,"Barca Velha Douro 1966","Casa Ferreirinha",4.8,272 ratings,"Portugal","Douro",https://images.vivino.com/thumbs/ooQmRipERdeq4HM4KGxlEA_pb_x300.png,reds
92,"La Tâche Grand Cru 2004","Domaine de La Romanée-Conti",4.8,255 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
93,"Unico Reserva Especial Edición 1990","Vega Sicilia",4.8,242 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/k_UetHZ3Q2SMqUsliefGYQ_pb_x300.png,reds
94,"Ark Vineyard Cabernet Sauvignon 2012","Hundred Acre",4.8,242 ratings,"United States","Howell Mountain",https://images.vivino.com/thumbs/TQLu4uY6RuC0bW8QHDeIPw_pb_x300.png,reds
95,"Unico 1986","Vega Sicilia",4.8,238 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x300.png,reds
96,"La Tâche Grand Cru 1990","Domaine de La Romanée-Conti",4.8,238 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
97,"Cabernet Sauvignon N.V.","Tusk",4.8,236 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/_dyrZSN7Sq6xyIrWTS2slA_pb_x300.png,reds
98,"Cobos Marchiori Vineyard Malbec 2016","Viña Cobos",4.8,232 ratings,"Argentina","Perdriel",https://images.vivino.com/thumbs/KOrKiHVjSlm4khPkAfU6yQ_pb_x300.png,reds
99,"Ark Vineyard Cabernet Sauvignon 2008","Hundred Acre",4.8,218 ratings,"United States","Howell Mountain",https://images.vivino.com/thumbs/TQLu4uY6RuC0bW8QHDeIPw_pb_x300.png,reds
100,"Unico Reserva Especial Edición 2018","Vega Sicilia",4.8,208 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/k_UetHZ3Q2SMqUsliefGYQ_pb_x300.png,reds
101,"Taita Marchigüe Vineyard Cabernet Sauvignon 2009","Montes",4.8,206 ratings,"Chile","Colchagua Valley",https://images.vivino.com/thumbs/jmKZlGApSlSVDlSbUbe5JA_pb_x300.png,reds
102,"Mount Veeder Cabernet Sauvignon 2012","Lokoya",4.8,204 ratings,"United States","Mount Veeder",https://images.vivino.com/thumbs/41jCEa5TSouKrLK1mxZVLg_pb_x300.png,reds
103,"Harlan Estate Red 1997","Harlan Estate",4.8,202 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/dk-tNdajRPqx2M7XtuE3dg_pb_x300.png,reds
104,"La Tâche Grand Cru 2009","Domaine de La Romanée-Conti",4.8,201 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
105,"La Tâche Grand Cru 1999","Domaine de La Romanée-Conti",4.8,198 ratings,"France","La Tâche Grand Cru",https://images.vivino.com/thumbs/rUPGZo11SwW6haQta4COqQ_pb_x300.png,reds
106,"Unico 1962","Vega Sicilia",4.8,195 ratings,"Spain","Ribera del Duero",https://images.vivino.com/thumbs/SCnpJk_ySUe6XS3U-lFOwQ_pb_x300.png,reds
107,"Cabernet Sauvignon Vineyard 887 2012","Del Dotto",4.8,194 ratings,"United States","St. Helena",https://images.vivino.com/thumbs/As4eGQeHTdmvXTjpjwne2Q_pb_x300.png,reds
108,"Cabernet Sauvignon 2012","Screaming Eagle",4.8,190 ratings,"United States","Oakville",https://images.vivino.com/thumbs/Z92v0bohTBaVUVPNjiXPuA_pb_x300.png,reds
109,"Pêra-Manca Tinto 1995","Cartuxa",4.8,177 ratings,"Portugal","Alentejo",https://images.vivino.com/thumbs/L33jsYUuTMWTMy3KoqQyXg_pb_x300.png,reds
110,"Romanée-Saint-Vivant Grand Cru (Marey-Monge) 2005","Domaine de La Romanée-Conti",4.8,174 ratings,"France","Romanée-Saint-Vivant Grand Cru",https://images.vivino.com/thumbs/qbolgWCtRq-z3tt-HeXRrA_pb_x300.png,reds
111,"Lindaflor La Violeta Malbec 2010","Monteviejo",4.8,169 ratings,"Argentina","Uco Valley",https://images.vivino.com/thumbs/H27-UdTARwuWTyJpaCT8bw_pb_x300.png,reds
112,"Cabernet Sauvignon 2010","Screaming Eagle",4.8,167 ratings,"United States","Oakville",https://images.vivino.com/thumbs/Z92v0bohTBaVUVPNjiXPuA_pb_x300.png,reds
113,"Cabernet Sauvignon 2013","Scarecrow",4.8,167 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/pU7uFKR-TAKAOQaf3Hpn2A_pb_x300.png,reds
114,"Hillside Select Cabernet Sauvignon 2001","Shafer",4.8,164 ratings,"United States","Stags Leap District",https://images.vivino.com/thumbs/Q71Yx3zaRQW9IqxN0vk64w_pb_x300.png,reds
115,"Cabernet Sauvignon RBS Beckstoffer To Kalon Vineyard 2009","Schrader",4.8,162 ratings,"United States","Oakville",https://images.vivino.com/thumbs/GpcSXs2ERS6niDxoAsvESA_pb_x300.png,reds
116,"Barca Velha Douro 1964","Casa Ferreirinha",4.8,161 ratings,"Portugal","Douro",https://images.vivino.com/thumbs/ooQmRipERdeq4HM4KGxlEA_pb_x300.png,reds
117,"Romanée-Saint-Vivant Grand Cru (Marey-Monge) 2008","Domaine de La Romanée-Conti",4.8,159 ratings,"France","Romanée-Saint-Vivant Grand Cru",https://images.vivino.com/thumbs/qbolgWCtRq-z3tt-HeXRrA_pb_x300.png,reds
118,"Cabernet Sauvignon 2015","Palmaz",4.8,155 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/AEWCd6xfSvCc7aoZcEVkaw_pb_x300.png,reds
119,"Patriarch 2013","Frank Family",4.8,154 ratings,"United States","Rutherford",https://images.vivino.com/thumbs/BFAcH67rRxyiZskkxTnnJQ_pb_x300.png,reds
120,"Winston Hill 2010","Frank Family",4.8,152 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/0CtubwMqQy-ZING9vlUPSw_pb_x300.png,reds
121,"Harlan Estate Red 2010","Harlan Estate",4.8,151 ratings,"United States","Napa Valley",https://images.vivino.com/thumbs/dk-tNdajRPqx2M7XtuE3dg_pb_x300.png,reds
122,"Basaltico Amarone della Valpolicella N.V.","Ernesto Ruffo",4.8,155 ratings,"Italy","Amarone della Valpolicella",https://images.vivino.com/thumbs/kB1XXwozQyKwmJfHannatg_pb_x300.png,reds
123,"Pêra-Manca Tinto 2016","Cartuxa",4.8,151 ratings,"Portugal","Alentejo",https://images.vivino.com/thumbs/L33jsYUuTMWTMy3KoqQyXg_pb_x300.png,reds
